t	freq	ic
1	0.0001273411502927	12.939013678064104
2	0.0009232233396221	10.08103268293653
3	0.022700235581128	5.461148920013532
6	1.3404331609759694e-05	16.18694119150769
7	1.1728790158539732e-05	16.379586269450083
9	0.0001625275207683	12.58702834932056
10	1.6755414512199618e-05	15.865013096620324
11	0.0004456940260245	11.131658756006498
12	0.0001323677746463	12.883160443330585
14	0.0004088321140976	11.256203853944802
15	2.17820388658595e-05	15.486501473366596
16	4.188853628049904e-05	14.543085001732964
17	8.377707256099809e-06	16.865013096620327
18	0.0009701385002563	10.009521653518451
19	8.210153110977812e-05	13.57223134739248
22	0.0002915442125122	11.74399769565896
23	3.1835287573179275e-05	14.939013678064104
24	3.3510829024399235e-06	18.18694119150769
25	1.3404331609759694e-05	16.18694119150769
26	0.0002999219197683	11.703125414243432
27	0.003329300863574	8.230565034258019
28	0.0025887115421348	8.59355006871595
30	0.002285438539464	8.773313262483516
31	8.377707256099809e-06	16.865013096620327
32	0.0003099751684756	11.655559730991376
33	0.0002932197539634	11.73573007967536
34	2.8484204670739348e-05	15.09947835025735
35	0.0003284061244391	11.57223134739248
36	0.0003451615389513	11.50044066432447
38	0.0012633582542198	9.628520478239023
41	0.0033058432832569	8.24076595078413
45	0.0028769046717446	8.441266867505554
48	1.8430955963419578e-05	15.72750957287039
49	0.0015984665444638	9.289095735502176
50	0.0006970252437075	10.486501473366596
52	3.5186370475619195e-05	14.794623768728927
53	0.0001658786036707	12.557584571428078
54	0.0013839972387076	9.496943220088244
55	0.000792531106427	10.301244818168293
56	0.0004490451089269	11.120852001049917
60	0.0008863614276953	10.139817279393665
61	1.6755414512199618e-06	19.18694119150769
62	9.550586271953782e-05	13.354051177342948
64	0.0001926872668902	12.341451140563311
70	0.0035203125890131	8.150080744834643
73	1.1728790158539732e-05	16.379586269450083
75	0.0041034010140376	7.92896413294371
76	0.0008126376038416	10.265100254433198
77	0.0022904651638176	8.770143663901628
79	0.0014862052672321	9.394150897206623
80	1.6755414512199618e-06	19.18694119150769
82	0.0013002201661466	9.58702834932056
83	0.0002261980959146	12.110125594456855
84	1.6755414512199618e-06	19.18694119150769
85	1.6755414512199618e-06	19.18694119150769
86	0.0004842314794025	11.012015509007009
87	1.6755414512199618e-06	19.18694119150769
88	1.6755414512199618e-06	19.18694119150769
89	1.6755414512199618e-06	19.18694119150769
90	1.6755414512199618e-06	19.18694119150769
91	1.6755414512199618e-06	19.18694119150769
92	1.6755414512199618e-06	19.18694119150769
93	1.6755414512199618e-06	19.18694119150769
95	0.000175931852378	12.472695673841566
96	0.0024211573970128	8.690087414119647
97	0.0014292368578906	9.450539260189398
98	0.0002496556762317	11.967772671045529
99	0.0002781398809025	11.811901760160763
100	5.026624353659885e-06	17.60197869078653
101	0.0002563578420366	11.929553348815038
102	5.026624353659885e-06	17.60197869078653
103	0.0002932197539634	11.73573007967536
104	0.0003501881633049	11.479582059426804
105	0.0005546042203538	10.816253784700471
107	0.0001273411502927	12.939013678064104
109	0.0005060135182684	10.94853645218261
110	0.0003015974612195	11.695088095178011
